t;y
0,000;0,000
0,033;0,001
0,067;0,003
0,100;0,008
0,133;0,014
0,167;0,022
0,200;0,031
0,233;0,042
0,267;0,054
0,300;0,068
0,333;0,084
0,367;0,102
0,400;0,121
0,433;0,141
0,467;0,165
0,500;0,189
0,533;0,214
0,567;0,242
0,600;0,271
0,633;0,302
0,667;0,335
0,700;0,369
0,733;0,405
0,767;0,443
0,800;0,482
