t;x;y
3,202;3,54E-02;-0,898
3,218;4,06E-02;-0,897
3,235;4,55E-02;-0,897
3,252;4,93E-02;-0,897
3,268;5,33E-02;-0,897
3,285;5,65E-02;-0,897
3,302;5,94E-02;-0,897
3,318;6,05E-02;-0,897
3,335;6,21E-02;-0,897
3,352;6,24E-02;-0,897
3,368;6,25E-02;-0,897
3,385;6,24E-02;-0,897
3,402;6,02E-02;-0,897
3,418;5,88E-02;-0,897
3,435;5,61E-02;-0,897
3,452;5,34E-02;-0,897
3,468;4,93E-02;-0,897
3,485;4,49E-02;-0,897
3,502;4,01E-02;-0,898
3,518;3,52E-02;-0,898
3,535;2,94E-02;-0,898
3,552;2,33E-02;-0,898
3,568;1,71E-02;-0,898
3,585;1,02E-02;-0,898
3,602;3,83E-03;-0,898
3,618;-3,48E-03;-0,898
3,635;-1,05E-02;-0,898
3,652;-1,71E-02;-0,898
3,668;-2,41E-02;-0,898
3,685;-3,16E-02;-0,897
3,702;-3,79E-02;-0,897
3,718;-4,44E-02;-0,897
3,735;-5,04E-02;-0,897
3,752;-5,62E-02;-0,896
3,768;-6,13E-02;-0,896
3,785;-6,62E-02;-0,896
3,802;-7,08E-02;-0,895
3,818;-7,43E-02;-0,895
3,835;-7,74E-02;-0,895
3,852;-8,04E-02;-0,894
3,868;-8,29E-02;-0,894
3,885;-8,47E-02;-0,894
3,902;-8,59E-02;-0,894
3,918;-8,60E-02;-0,894
3,935;-8,60E-02;-0,894
3,952;-8,52E-02;-0,894
3,968;-8,34E-02;-0,894
3,985;-8,13E-02;-0,895
4,002;-7,80E-02;-0,895
4,018;-7,46E-02;-0,895
4,035;-7,06E-02;-0,895
4,052;-6,61E-02;-0,895
4,068;-6,13E-02;-0,896
4,085;-5,60E-02;-0,896
4,102;-5,02E-02;-0,897
4,118;-4,40E-02;-0,898
4,135;-3,79E-02;-0,898
4,152;-3,12E-02;-0,898
4,168;-2,43E-02;-0,898
4,185;-1,76E-02;-0,898
4,202;-1,04E-02;-0,898
4,218;-3,49E-03;-0,898
4,235;2,96E-03;-0,898
4,252;9,69E-03;-0,898
4,268;1,65E-02;-0,898
4,285;2,26E-02;-0,898
4,302;2,87E-02;-0,898
4,318;3,48E-02;-0,898
4,335;4,02E-02;-0,897
4,352;4,42E-02;-0,897
4,368;4,91E-02;-0,897
4,385;5,29E-02;-0,897
4,402;5,60E-02;-0,897
4,418;5,85E-02;-0,897
4,435;6,09E-02;-0,897
4,452;6,25E-02;-0,897
4,468;6,31E-02;-0,897
4,485;6,28E-02;-0,897
4,502;6,25E-02;-0,897
4,518;6,13E-02;-0,897
4,535;5,97E-02;-0,897
4,552;5,73E-02;-0,897
4,568;5,41E-02;-0,897
4,585;5,03E-02;-0,897
4,602;4,64E-02;-0,897
4,618;4,19E-02;-0,898
4,635;3,67E-02;-0,897
4,652;3,17E-02;-0,898
4,668;2,56E-02;-0,898
4,685;1,96E-02;-0,898
4,703;1,33E-02;-0,898
4,718;6,53E-03;-0,898
4,737;3,32E-04;-0,898
4,753;-6,29E-03;-0,898
4,77;-1,40E-02;-0,897
4,787;-2,05E-02;-0,897
4,803;-2,72E-02;-0,898
4,82;-3,40E-02;-0,897
4,837;-4,09E-02;-0,897
4,853;-4,70E-02;-0,897
4,87;-5,29E-02;-0,897
4,887;-5,83E-02;-0,896
4,903;-6,24E-02;-0,896
4,92;-6,77E-02;-0,895
4,937;-7,14E-02;-0,895
4,953;-7,49E-02;-0,895
4,97;-7,81E-02;-0,894
4,987;-8,02E-02;-0,894
5,003;-8,22E-02;-0,894
5,02;-8,33E-02;-0,894
5,037;-8,39E-02;-0,894
5,053;-8,37E-02;-0,894
5,07;-8,30E-02;-0,894
5,087;-8,19E-02;-0,894
5,103;-7,97E-02;-0,895
5,12;-7,74E-02;-0,895
5,137;-7,42E-02;-0,895
5,153;-7,06E-02;-0,895
5,17;-6,64E-02;-0,895
5,187;-6,21E-02;-0,895
5,203;-5,65E-02;-0,896
5,22;-5,15E-02;-0,896
5,237;-4,61E-02;-0,897
5,253;-3,99E-02;-0,897
5,27;-3,33E-02;-0,898
5,287;-2,69E-02;-0,898
5,303;-2,00E-02;-0,898
5,32;-1,31E-02;-0,898
5,337;-6,27E-03;-0,898
5,353;3,15E-04;-0,898
5,37;7,42E-03;-0,898
5,387;1,41E-02;-0,898
5,403;2,01E-02;-0,898
5,42;2,60E-02;-0,898
5,437;3,16E-02;-0,898
5,453;3,72E-02;-0,897
5,47;4,22E-02;-0,897
5,487;4,61E-02;-0,897
5,503;5,01E-02;-0,897
5,52;5,36E-02;-0,897
5,537;5,61E-02;-0,897
5,553;5,85E-02;-0,897
5,57;6,00E-02;-0,897
5,587;6,10E-02;-0,897
5,603;6,13E-02;-0,897
5,62;6,15E-02;-0,897
5,637;6,09E-02;-0,897
5,653;5,93E-02;-0,897
5,67;5,74E-02;-0,897
5,687;5,41E-02;-0,897
5,703;5,07E-02;-0,897
5,72;4,68E-02;-0,897
5,737;4,23E-02;-0,897
5,753;3,75E-02;-0,898
5,77;3,21E-02;-0,898
5,787;2,65E-02;-0,898
5,803;2,03E-02;-0,898
5,82;1,41E-02;-0,898
5,837;7,49E-03;-0,898
5,853;8,70E-04;-0,898
5,87;-5,47E-03;-0,898
5,887;-1,24E-02;-0,898
5,903;-1,93E-02;-0,898
5,92;-2,59E-02;-0,898
5,937;-3,22E-02;-0,898
5,953;-3,88E-02;-0,897
5,97;-4,46E-02;-0,897
5,987;-5,06E-02;-0,897
6,003;-5,59E-02;-0,896
6,02;-6,02E-02;-0,896
6,037;-6,54E-02;-0,895
6,053;-6,93E-02;-0,895
6,07;-7,37E-02;-0,895
6,087;-7,72E-02;-0,895
6,103;-7,92E-02;-0,895
6,12;-8,11E-02;-0,894
6,137;-8,25E-02;-0,894
6,153;-8,30E-02;-0,894
6,17;-8,30E-02;-0,894
6,187;-8,29E-02;-0,894
6,203;-8,19E-02;-0,894
6,22;-8,01E-02;-0,895
6,237;-7,74E-02;-0,895
6,253;-7,43E-02;-0,895
6,27;-7,12E-02;-0,895
6,287;-6,73E-02;-0,895
6,303;-6,25E-02;-0,895
6,32;-5,75E-02;-0,896
6,337;-5,32E-02;-0,896
6,353;-4,72E-02;-0,897
6,37;-4,11E-02;-0,897
6,387;-3,47E-02;-0,898
6,403;-2,81E-02;-0,898
6,42;-2,15E-02;-0,898
6,437;-1,50E-02;-0,898
6,453;-8,64E-03;-0,898
6,47;-1,61E-03;-0,898
6,487;5,06E-03;-0,898
6,503;1,11E-02;-0,898
6,52;1,72E-02;-0,898
6,537;2,31E-02;-0,898
6,553;2,87E-02;-0,898
6,57;3,45E-02;-0,898
6,587;3,96E-02;-0,897
6,603;4,39E-02;-0,897
6,62;4,83E-02;-0,897
6,637;5,17E-02;-0,897
6,653;5,45E-02;-0,897
6,67;5,64E-02;-0,897
6,687;5,79E-02;-0,897
6,703;5,95E-02;-0,897
6,72;5,98E-02;-0,897
